"","pop","dam","Corollawidth","Corollalength","Petallength","color492","nectaramt","nectarconc","Root","fdate"
"1",1,"TJ_217",0.906040856154052,-0.684795261139116,-1.74844090745873,1.67124731423309,0.0353303857909603,-0.958231451163987,-0.254544583311928,0.0920402504913876
"2",1,"TJ_217",0.949830537445777,1.57156598426722,-0.49297497672333,1.41866015558976,-0.365354444009656,-0.708337474750307,0.693052201786725,NA
"3",1,"TJ_217",0.485223020390282,-0.135140500366506,-0.49297497672333,1.88678530696945,0.0730303069012354,1.26781313460072,-0.568522063494925,0.594218244393561
"4",1,"TJ_217",-0.16700757961518,0.0157147051341556,-2.27466198120475,1.88678530696945,-0.108444559106479,-0.0922012296657238,0.203786941939719,0.0266981315402802
"5",1,"TJ_219",0.567001560454548,-0.994875162353973,-2.70043134789339,NA,NA,NA,-0.837454421385491,1.09950393533669
"6",1,"TJ_226",0.993948124810476,-0.347646530821325,0.467328760275164,1.61125584995408,0.525182471019121,-0.649952726213493,0.573398513869267,0.418531329892338
"7",1,"TJ_227",0.691855206860346,0.876306558586011,-0.0914732381778153,1.580416119156,-0.571306433963738,-0.334062160423815,0.95480608734586,-1.7829505218277
"8",1,"TJ_227",-0.130611777830214,1.05148643583966,-0.239104984463423,1.36650671338827,0.134531845385828,-0.23379914207909,0.985067805636046,-0.465445501737109
"9",1,"TJ_228",0.444759518992538,0.285358853009262,-1.03313807189369,1.55357165231928,0.00985061635988354,-0.492953416282391,0.693052201786725,-0.465445501737109
"10",1,"TJ_228",-0.620265295904485,0.105863263030545,0.00509515419133349,NA,0.626016726580533,-0.173289667517946,0.303138254441072,0.0920402504913876
"11",1,"TJ_228",0.525969123981863,1.02235473050215,1.30310696925702,1.13908892401171,-1.29719507815088,1.71653574593563,-0.422006486898573,0.863238889711919
"12",2,"TJ_250",1.5022824388557,-0.0143951682517435,-0.0914732381778153,1.88678530696945,0.606181882341669,0.23680395665624,0.49281751566338,-1.44133560103766
"13",2,"TJ_250",0.0173147397826465,-1.05731816471557,-2.27466198120475,1.88678530696945,1.19699517460516,-0.413743606477743,0.83616942788966,0.369626322176612
"14",2,"TJ_250",0.691855206860346,-0.195698843889041,0.00509515419133349,1.88678530696945,0.0667895150667917,0.895192636883511,0.702421317533059,-0.0529515790052551
"15",2,"TJ_250",-0.203174581993062,-0.592446011489089,-1.62347137209161,1.7107878597736,-0.0882986169016558,-1.38786311789112,0.457574292931977,-1.13419455723128
"16",2,"TJ_250",NA,NA,NA,1.88678530696945,-0.0159143838756332,1.80761150037758,-0.415192103488538,0.418531329892338
"17",2,"TJ_250",-0.345607615624338,-1.11990734428436,-3.82392928945754,1.88678530696945,0.298594089396066,0.57319195966985,NA,-0.465445501737109
"18",2,"TJ_250",0.649940689816207,-0.746531873406359,-2.07214076217764,1.88678530696945,0.843286288440896,0.658433477993577,0.582463913087579,0.156497901094022
"19",2,"TJ_250",0.444759518992538,0.285358853009262,-0.921381825011735,1.88678530696945,0.206253034032138,0.488407063989346,0.46635274484063,0.594218244393561
"20",2,"TJ_250",0.246555534917298,-1.8507764004421,-2.00605703970174,1.70427031018524,-1.05381077227292,-1.18439073199154,0.944773331769244,-0.591219514081517
"21",2,"TJ_253",NA,NA,NA,1.88678530696945,-0.0159143838756332,-0.173289667517946,-1.22724792611401,0.507064776821966
"22",2,"TJ_253",NA,NA,NA,1.88678530696945,-0.458015929176841,0.960357972089723,-0.831444090450905,0.95284432052056
"23",2,"TJ_253",NA,NA,NA,NA,NA,NA,-1.58844740334941,1.45308891415211
"24",2,"TJ_253",-0.203174581993062,0.934804217074557,-0.921381825011735,1.88678530696945,-0.638794655886841,0.153857458956056,0.244844672615754,-1.20998679731589
"25",2,"TJ_258",NA,NA,NA,NA,NA,NA,-0.496066219036221,1.43927226488062
"26",3,"AM_229",NA,NA,NA,-0.503911332903667,-0.604787586718322,1.44596676012734,1.8963852437599,-0.637645167576999
"27",3,"AM_230",0.13080072661595,0.404441249642757,-0.0914732381778153,NA,0.0667895150667917,-1.33273684289488,0.537362444116436,1.3872298490624
"28",3,"AM_230",NA,NA,NA,-0.963205114689438,-1.1608543508956,-0.958231451163987,1.06698740465273,0.369626322176612
"29",3,"AM_231",0.404574967135285,-1.27703115416663,-0.189516017503391,-0.823922999979015,0.206253034032138,-0.492953416282391,1.84535004872137,0.156497901094022
"30",3,"AM_233",-0.345607615624338,-0.0143951682517435,0.100234208499797,NA,NA,NA,NA,1.11399458636732
"31",3,"AM_234",NA,NA,NA,NA,NA,NA,-1.8730251472124,1.39419004187718
"32",3,"AM_234",NA,NA,NA,NA,-0.233230037186132,-0.881880272264274,-0.247384434753123,0.817956336555909
"33",3,"AM_234",NA,NA,NA,NA,NA,NA,-2.41128978890645,1.42889295823409
"34",3,"AM_235",NA,NA,NA,NA,NA,NA,-0.879218868437182,1.32428833079912
"35",3,"AM_236",2.03162839354679,0.0457943026261645,0.940268270988805,-0.133166988319903,0.446697508483401,-0.881880272264274,0.702421317533059,-0.36306159568653
"36",3,"AM_237",NA,NA,NA,NA,NA,NA,-0.325329240466203,1.29261141612293
"37",3,"AM_238",-0.415518988707003,-0.963707951015806,-0.189516017503391,-0.340269107021745,-0.169976753264391,0.320211868492624,1.06698740465273,0.594218244393561
"38",3,"AM_238",0.207713258258752,0.285358853009262,-0.49297497672333,-0.696025209746628,0.586184084062075,-0.532381035500145,NA,0.462976045478576
"39",3,"AM_238",0.0927241141727759,0.225644382803511,-1.38070399222482,-0.687248987237749,0.545687515235346,0.153857458956056,0.013128013254304,-0.244612601696843
