x,y
39.54998,-105.28332
39.413,-105.515
39.783,-105.417
39.92,-105.35
37.334,-105.092
39.19,-104.54
39.436,-105.233
39.95,-105.383
37.55,-105
37.733,-105.48
37.25,-105.12
39.451,-105.383
39.938,-105.482
39.92,-105.5
39.35,-105.25
37.087,-105.32
40.02,-105.42
40.05,-105.5
39.48,-105.37
37.606,-105.183
38.741,-106.094
39.048,-105.549
