K1,K2,Num
0.5,0.5,1
0.4,0.6,2
0.2,0.8,3
0,1,4
0.923076923,0.076923077,5
0.5,0.5,6
0.4,0.6,7
0.1,0.9,8
0.727272727,0.272727273,9
0.727272727,0.272727273,10
1,0,11
0.636363636,0.363636364,12
0.5,0.5,13
0,1,14
0.5,0.5,15
0.8,0.2,16
0.571428571,0.428571429,17
0.111111111,0.888888889,18
0.4,0.6,19
0.9,0.1,20
0.7,0.3,21
0.5,0.5,22
