ID,Lat,Lon
1,39.54998,-105.28332
2,39.413,-105.515
3,39.783,-105.417
4,39.92,-105.35
5,37.334,-105.092
6,39.19,-104.54
7,39.436,-105.233
8,39.95,-105.383
9,37.55,-105
10,37.733,-105.48
11,37.25,-105.12
12,39.451,-105.383
13,39.938,-105.482
14,39.92,-105.5
15,39.35,-105.25
16,37.087,-105.32
17,40.02,-105.42
18,40.05,-105.5
19,39.48,-105.37
20,37.606,-105.183
21,38.741,-106.094
22,39.048,-105.549
