PlantID,Rack,Block,Mom,Site,Site.num,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
AM_055_B_E,71,G,AM_055,Smiths,4,NA,NA,NA,0.2325,17,19.5,4.51,49
AM_055_B_F,50,B,AM_055,Smiths,4,NA,NA,NA,NA,NA,NA,8.03,NA
AM_057_1_B,29,G,AM_057,Smiths,4,2.9,42,14,0.3653,24.5,20.5,6.5,489
AM_057_B_A,74,B,AM_057,Smiths,4,3.525,42.25,11,0.1838,26.75,18.5,6.59,477
AM_057_B_B,40,B,AM_057,Smiths,4,NA,NA,NA,NA,NA,NA,9.83,697
AM_057_B_C,54,G,AM_057,Smiths,4,NA,NA,NA,NA,NA,NA,8.86,NA
AM_057_B_E,58,B,AM_057,Smiths,4,NA,NA,NA,NA,NA,NA,8.45,680
AM_057_B_G,2,B,AM_057,Smiths,4,NA,NA,NA,0.2697,NA,NA,5.01,477
AM_059_B_D,5,G,AM_059,Smiths,4,NA,NA,NA,0.2619,21.5,20,5.49,671
AM_059_B_F,33,G,AM_059,Smiths,4,NA,NA,NA,0.2035,NA,NA,5.85,467
AM_065_B_D,73,B,AM_065,Smiths,4,3.233333333,42.33333333,9.333333333,0.0989,28.83333333,21.16666667,4.04,233
AM_067_B_A,12,B,AM_067,Smiths,4,2.866666667,45.83333333,11.33333333,0.216,26.5,21.33333333,6.3,309
AM_067_B_B,3,B,AM_067,Smiths,4,3.083333333,43.33333333,13.33333333,0.8642,25.66666667,21.16666667,6.27,392
AM_068_1_A,75,B,AM_068,Smiths,4,3.2,31.26666667,12.5,0.1848,39.83333333,19.66666667,4.9,142
AM_068_2_A,47,G,AM_068,Smiths,4,3.533333333,46.83333333,13.66666667,0.1671,22,15.5,6.25,507
AM_068_2_D,9,G,AM_068,Smiths,4,3.033333333,38.83333333,10.66666667,0.0708,35.66666667,20.66666667,3.97,102
