Pop,Dam,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
1,AM_166,2.966666667,48.66666667,8.166666667,0.4056,NA,NA,4.42,11
1,AM_166,2.816666667,45,8.166666667,0.2139,14.66666667,21,4.19,78
1,AM_166,2.416666667,50.5,10.5,0.2312,24,21.33333333,4.42,16
1,AM_166,NA,NA,NA,NA,11.33333333,20.16666667,5.84,334
1,AM_167,2.666666667,43,10.33333333,0.3391,28.5,20.5,5.46,92
1,AM_167,NA,NA,NA,4,11,21.25,5.41,507
1,AM_168,2.266666667,41,11,0.1604,23.33333333,19.33333333,4.88,20
1,AM_168,2.466666667,46.16666667,9.5,0.326,16.66666667,19.83333333,4.7,132
1,AM_168,2.533333333,49.83333333,9.833333333,0.3344,14,20,5.17,587
1,AM_168,2.25,33.66666667,8.833333333,0.0843,15.16666667,23.66666667,4.05,57
1,AM_168,NA,NA,NA,0.1057,32.66666667,19.5,7.13,194
2,TJ_097,3.166666667,42.33333333,12,0.1375,11.5,21.5,6.16,502
2,TJ_097,3.12,44.5,9.4,NA,NA,NA,7.71,605
2,TJ_100,NA,NA,NA,0.109,19.75,19.5,6.5,502
2,TJ_100,2.541666667,45.75,9.25,0.1141,19.5,17.75,6.52,424
2,TJ_100,2.683333333,41,9,NA,26.66666667,18.5,5.05,212
2,TJ_100,2.583333333,40.66666667,9.166666667,0.278,25.5,21.5,NA,67
2,TJ_100,NA,NA,NA,0.2943,30.17,20.17,5.9,489
2,TJ_100,2.65,43.66666667,10.66666667,0.1167,21.33333333,22,NA,424
2,TJ_103,2.5,45.66666667,10.5,0.2019,21.66666667,22,5.04,92
2,TJ_103,NA,NA,NA,NA,NA,NA,6.66,704
2,TJ_104,NA,NA,NA,NA,NA,NA,7.55,605
2,TJ_104,3.166666667,49.66666667,10.66666667,0.1166,17.33333333,21.33333333,6.19,246
2,TJ_104,3,42,12.33333333,0.1722,25.66666667,22.33333333,7.33,467
2,TJ_104,2.916666667,47.16666667,10.83333333,0.1694,11,20,6.05,520
2,TJ_104,2.333333333,36,10,0.25895,28.66666667,19.83333333,4.96,292
2,TJ_104,2.5,43.66666667,8.5,0.1473,20.16666667,19.66666667,6.18,320
2,TJ_105,2.45,42.33333333,11.66666667,0.2193,26.5,20,5.06,246
2,TJ_105,2.483333333,41.66666667,13,0.2484,20.84,24.75,5.88,520
2,TJ_106,2.333333333,40,11,0.1276,19.83,20.17,5.63,184
2,TJ_107,NA,NA,NA,0.1877,19.83333333,20.16666667,5.81,292
2,TJ_108,NA,NA,NA,NA,NA,NA,6.83,553
2,TJ_108,2.5,38.66666667,9.666666667,0.2213,30.5,17.66666667,5.44,161
2,TJ_108,2.5,41.33333333,9.666666667,1.1148,21.16666667,18.83333333,4.85,161
2,TJ_115,2.583333333,46.66666667,9.833333333,0.206,18,23,4.75,67
2,TJ_115,2.716666667,43.83333333,12.16666667,0.13165,32.5,20.5,5.42,102
2,TJ_115,2.583333333,43.33333333,9.5,0.152,NA,NA,4.6,92
2,TJ_115,2.925,41.25,11,0.0726,26.83333333,18.66666667,4.98,161
2,TJ_118,3,42.16666667,11,0.1509,30.33333333,19.16666667,5.56,212
2,TJ_120,3.033333333,46,9.5,0.2006,29,19.16666667,6.25,281
2,TJ_120,2.844444444,47.77777778,10.77777778,0.4426,23.66666667,20.33333333,6.56,212
2,TJ_120,2.866666667,46.66666667,10.66666667,0.451,33,19.5,6.74,433
2,TJ_120,3.166666667,44.66666667,12.5,0.3007,31,18.66666667,6.07,281
2,TJ_120,2.766666667,38.83333333,7.666666667,NA,NA,NA,7.65,528
2,TJ_120,2.5,49,11,0.16895,31.33333333,20.5,5.09,49
3,AM_025,NA,NA,NA,0.1826,17.33333333,18,6.18,445
3,AM_025,2.775,40.875,9.375,NA,NA,NA,8.69,212
3,AM_025,2.966666667,35.66666667,10.33333333,0.0744,27.33333333,19.33333333,5.15,713
3,AM_025,NA,NA,NA,0.2042,20.6,21.5,NA,112
3,AM_025,NA,NA,NA,NA,NA,NA,7.97,742
3,AM_025,2.9,43.33333333,12,0.2481,NA,NA,5.85,25
3,AM_025,3.166666667,43.33333333,11.66666667,0.3791,31,22,NA,334
3,AM_026,2.9,38.66666667,10.33333333,0.0561,33.66666667,19.5,6.67,246
3,AM_026,3,36.83333333,12.33333333,0.1576,37.75,19.75,6.29,477
3,AM_026,2.866666667,34.33333333,12,0.122,39.83333333,19.83333333,5.02,233
3,AM_026,NA,NA,NA,NA,NA,NA,6.66,706
3,AM_026,2.75,39.33333333,14,0.1848,40.25,19.25,4.13,267
3,AM_026,NA,NA,NA,NA,NA,NA,6.82,723
3,AM_026,2.6,38,11.16666667,0.0772,41.33333333,18.66666667,5.42,445
3,AM_026,3,41.66666667,12.16666667,0.2966,18,24.5,4.91,309
3,AM_026,3.033333333,39,12,0.0476,23.1,18.9,4.45,221
3,AM_026,2.9,35.41666667,12.75,0.12,19.16666667,18.16666667,5.52,417
3,AM_026,3.133333333,35.33333333,11,0.134,26,22,4.93,392
3,AM_026,NA,NA,NA,0.1142,17.66666667,21.16666667,8.85,674
3,AM_026,2.866666667,40.16666667,14.83333333,0.1235,25.33333333,20.66666667,5.25,445
3,AM_030,NA,NA,NA,NA,17,18,7.5,677
3,AM_037,2.916666667,39.33333333,10.5,0.059,19,21.5,5.09,112
3,AM_037,NA,NA,NA,NA,NA,NA,7.65,733
3,AM_043,2.7,39.33333333,9.666666667,0.233,28.5,20.16666667,5.69,352
3,AM_043,2.766666667,41.83333333,8.666666667,0.221,26,21.83333333,5.62,352
3,AM_043,2.75,37.66666667,10.16666667,0.1696,23.33333333,21,6.49,320
3,AM_043,NA,NA,NA,0.1154,8.5,21,5.89,638
3,AM_043,2.95,43,11.16666667,0.2636,31.83333333,19,6.14,367
3,AM_044,2.766666667,46,12.5,0.2341,23.5,21.33333333,6.61,528
3,AM_044,2.583333333,45.5,11,0.2126,40.66666667,19.66666667,6.86,78
3,AM_044,2.633333333,41.5,13,0.0935,44.4,18.83333333,5.98,547
3,AM_044,NA,NA,NA,NA,NA,NA,7.15,697
3,AM_044,NA,NA,NA,NA,NA,NA,5.4,651
3,AM_045,2.833333333,41.5,7.833333333,0.0772,24.66666667,21,6.04,292
3,AM_045,2.583333333,45,9.666666667,0.3371,26.5,20,5.69,320
3,AM_045,3.166666667,43.66666667,9.333333333,0.1444,18.83333333,18.33333333,5.34,31
3,AM_045,2.816666667,43,11.16666667,0.1466,33.75,19.5,6.6,352
3,AM_045,2.966666667,44.33333333,9.666666667,0.1548,27.33333333,19.16666667,7.68,674
3,AM_045,2.666666667,38,9.666666667,0.0771,19.83333333,20,4.24,78
3,AM_045,2.9,42,11.66666667,0.208,18,17.5,4.93,31
4,AM_001,2.79,43.6,9.1,NA,22.5,19.25,5.2,635
4,AM_001,3.266666667,43.83333333,8.333333333,0.1955,25.75,18.75,5.66,382
4,AM_001,NA,NA,NA,0.1153,17.66666667,21.5,5.76,102
4,AM_001,2.791666667,44.16666667,12.08333333,0.2836,27.5,20.91666667,5.8,456
4,AM_001,2.933333333,40.33333333,10.33333333,0.1614,26.33333333,20.66666667,4.16,221
4,AM_001,2.683333333,41.66666667,6.333333333,0.1898,41.25,17,6.47,583
4,AM_001,NA,NA,NA,0.1539,12.25,16.25,5.8,477
4,AM_001,3,42.33333333,7,0.0955,31,19.33333333,5.57,528
4,AM_001,NA,NA,NA,NA,NA,NA,7.82,682
4,AM_002,2.866666667,43.33333333,8,0.2195,15.5,19.66666667,5.18,10
4,AM_002,3,47.16666667,11.33333333,0.3258,17.33333333,21,5.76,161
4,AM_002,3.533333333,46.66666667,10.66666667,0.0936,11.66666667,19.33333333,NA,132
4,AM_002,3,43.16666667,11.5,0.2211,19.66,19.33,5.3,NA
4,AM_002,NA,NA,NA,0.1474,NA,NA,5.4,638
4,AM_002,2.5,46.33333333,11,0.0808,22.83333333,20.33333333,6.2,132
