pop,loc4,loc8,loc7,loc1,loc6,loc2,loc10,loc11,loc5,loc3,loc9
10,0608,0606,1719,2828,0822,0810,3668,4444,0719,1515,0000
10,0000,0606,1240,3033,0911,1212,1313,1240,1919,1717,1111
10,1010,0606,1048,2026,0939,1012,0000,2020,1719,0115,2026
10,0410,0406,1746,0000,1115,0808,7171,2525,1723,1515,0909
10,0910,0404,0000,3033,0709,0606,2832,0000,0519,1515,1114
10,0506,0206,0624,0433,0819,0808,5454,1626,1721,1515,1515
10,0404,0204,1717,2020,1532,0000,7373,0118,1519,0115,2020
10,0808,0606,1616,2435,0911,0000,4747,1919,0517,1115,1228
10,0407,0406,1719,2845,2237,0712,5353,1119,0000,1515,1528
10,0419,0206,1146,0622,2428,0606,4646,1529,1521,0415,0611
11,0707,0404,3861,1024,2644,0000,3858,0808,1313,0615,0912
11,0707,0404,2124,3847,0509,0000,1717,1016,1722,0711,1212
11,0405,0404,1228,1220,0819,1010,3169,1212,1722,0413,1111
11,0610,1515,1313,3554,0609,0101,3434,0823,1624,1313,0414
11,1010,1111,2424,2224,0534,1010,4646,0717,0421,1515,1434
11,0404,0204,1217,2024,1119,1313,4444,1212,1515,0404,0511
11,0617,1313,2152,1216,0009,0000,1543,0524,0707,1515,1214
11,0000,1111,2932,2230,0710,1010,2848,1212,1722,1515,0937
11,0607,0206,4161,0830,1919,0000,2323,0202,1719,1313,1114
11,0507,0404,0000,0610,0710,0000,0000,1120,0000,0000,0909
11,1919,1111,2929,0822,1747,0319,2629,2136,1725,1315,3737
11,0509,0404,0643,0420,0944,1010,5353,0818,0808,0404,1112
11,0000,0000,0000,0000,0009,0000,1616,0303,0000,0404,1215
