"","Dam","Pop","CorollaWidth","CorolLalength","PetalLength","Color","NectarAmt","NectarConc"
"1","AM_001",4,-0.0315117304216305,0.0180362358884903,-1.15691928941601,-0.447598987345469,0.147144503422574,-0.285692874734496
"2","AM_002",4,-0.123358131549101,0.735671570530898,0.0896443553719326,-0.488923653220348,-0.57355993175016,0.216811917301632
"3","AM_003",4,0.16723929828356,0.468868827602504,-0.154115321303297,-0.299799220139399,-0.518912410779597,-0.12771581921441
"4","AM_004",4,-0.02812364178766,-0.0874107565838208,0.37136471451515,-0.462315635606951,-0.143271268712415,-0.148474059119486
"5","AM_005",4,0.419787861608399,0.316409400371108,0.426832366302126,-0.585148084198678,-0.153181747411716,1.18648598995665
"6","AM_006",4,0.138028399250446,0.633555505960212,-0.349018640805579,-0.0539453994230357,-0.0278785181500015,0.514268108555714
"7","AM_007",4,0.198695590564934,0.0860373588676621,0.494104064913965,-0.522229114319068,0.0366055681506035,0.206741090003838
"8","AM_008",4,-0.475917119275351,0.491806046765931,-1.77198167834211,-0.388490505189715,0.451392152633891,-0.200735821034405
"9","AM_010",4,NA,NA,NA,-0.164031006459339,-0.869986286845727,0.811058753727023
"10","AM_012",4,-0.518151814348181,1.59845752505769,-0.660727050885183,-0.515076143360798,-0.0917027319162435,0.172300998332761
"11","AM_013",4,0.210443283925027,0.0106793021156126,-0.315825987605794,-0.466482676855372,0.0837611450720993,-0.410482327819375
"12","AM_014",4,0.895521359497042,-0.352858596216555,-0.190780153094906,-0.498682235508574,-0.474602859266599,-0.112047162102264
"13","AM_015",4,0.371846901990089,0.590279830769235,-0.434108539761531,-0.272884513872088,-0.656862873388125,0.458729850522102
"14","AM_016",4,0.676631823676886,0.594474406627441,0.188158898590471,-0.580275533184381,0.00824045096294209,-0.116664216776634
"15","AM_017",4,0.179671583966083,1.13277340595727,0.32594805264939,-0.417918714815506,-0.222475021653085,-0.351860282001338
"16","AM_018",4,0.730679593060075,0.612244288502221,1.07461369438935,-0.19102119120273,0.32431272263952,-1.35556356435889
"17","AM_019",4,0.54637542277586,0.376454473384902,0.0360164933045432,-0.363978826782457,-0.536812178514638,0.0815025432313824
"18","AM_020",4,-0.161507788884779,0.847454951773276,0.407077715964695,-0.830564175497015,-0.350833344842528,-0.62686503409832
"19","AM_021",4,-0.00871676640369476,0.01154968177058,0.427414458824015,-0.618617894121048,-0.606443211054762,0.68619648777296
"20","AM_022",4,-0.478481272116158,0.530215545974866,1.02812463303516,0.762486034010772,-0.268023181977052,0.762338266759458
"21","AM_023",4,0.232488954121948,-0.326258444461527,0.129294606991852,-0.354827822909826,-0.082571302817615,0.498845176846067
"22","AM_024",4,-0.515271869329627,0.760221183943126,0.660246090033715,-0.353998571742973,-0.667655543307133,0.261923593015774
"23","AM_025",3,-0.137167509412768,-0.348233093162604,0.17996312806275,-0.331785342715746,0.0695119582560877,0.240528758047143
"24","AM_026",3,-0.0243591957861084,-0.926574021787718,0.938733491083308,-0.62447043528771,0.440174483508609,0.245953592774699
"25","AM_030",3,NA,NA,NA,NA,-0.569624819877789,-0.922538451604967
"26","AM_037",3,-0.062950994988469,-0.63819005531115,0.00803411538856227,-0.968332648784338,-0.359468573919477,0.921178094024171
"27","AM_043",3,0.248219013998291,-0.416005494548537,-0.3657963172289,-0.345017788106149,-0.0552265496706313,0.445737912032889
"28","AM_044",3,0.585414270921613,0.349215569866266,0.907881077214033,-0.424360433342547,0.926193365553809,0.0999053023830235
"29","AM_045",3,0.120887542197779,-0.0127486776422559,-0.418716796876988,-0.499140498011843,0.0788222294308823,-0.209275147958763
"30","AM_053",5,-0.035254894104936,-0.391277942433479,-0.0904069254557428,-0.570343131606885,-0.301750901450024,-1.1404250400731
"31","AM_054",5,-0.841831311600916,0.54666803781595,0.570765890079438,-0.162355573703087,0.81292167251917,0.656400770153815
"32","AM_055",5,NA,NA,NA,-0.235096172051914,-0.569624819877789,-0.135217847342131
"33","AM_057",5,-0.688529179846751,-0.0866907415340634,1.05027431103831,-0.149531166863086,0.235672420482573,-0.134263203517537
"34","AM_059",5,NA,NA,NA,-0.238269213381406,-0.11858837032708,0.128192467310955
"35","AM_065",5,-0.77214540524403,-0.0455487938593522,-0.712906826644279,-0.722597676431387,0.485618366647131,0.744610873781513
"36","AM_067",5,-0.194848346926558,0.398617060529087,0.988495999182277,0.240791228746879,0.27380284675958,0.78874048545445
"37","AM_068",5,-0.320194997158476,-1.0213396737826,0.714263178611399,-0.573576666663308,0.749665734609437,-0.283798925372128
"38","AM_098",6,0.915351886124293,0.513777124582957,0.0524324986623955,0.286980810608185,-0.00658781449437651,0.568464518614656
"39","AM_099",6,NA,NA,NA,NA,NA,NA
"40","AM_100",6,-0.45634135912051,0.826161715795963,0.639624638058711,-0.583257346256224,-0.481320754004588,0.239087019038639
"41","AM_101",6,0.540200662635572,0.047615654231663,-0.107706571149452,-0.321725000568201,-0.685037620264697,0.24345259829277
"42","AM_102",6,-0.233295688376615,0.37024613813089,0.284872120272188,-0.18454760751409,0.040352574053717,0.0630182407309263
"43","AM_103",6,-0.144442474357237,-0.616729672760147,-0.861394031887827,-0.641945808664431,-0.602008161179066,-1.93315675827604
"44","AM_105",6,NA,NA,NA,-0.683360344998247,-0.738307112893222,-0.485440890601613
"45","AM_107",6,-0.00857752907867132,0.153385384902732,-0.109525355353763,-0.560113233702643,-0.214356725450272,0.0773922974359679
"46","AM_108",6,-0.335358594479477,0.327306325142893,-0.558592320343655,-0.0762633503548537,-0.176902320423233,-1.18944094603133
