pop,dam,Corollawidth,Corollalength,Petallength,color492,nectaramt,nectarconc,Root,fdate,ln_Corollawidth,ln_Corollalength,ln_Petallength,ln_color_adj,ln_nectaramt,ln_nectarconc,ln_Root,ln_fdate
3,AM_238,2.9,43,8.333333333,0.1352,32.33333333,20.16666667,6.04,292,1.064710737,3.761200116,2.120263536,-4.478966067,3.47609869,3.004031077,1.798404012,6.068425588
3,AM_238,3.4,47.33333333,10,0.0948,18,20.16666667,5.63,142,1.223775432,3.857214769,2.302585093,-5.105114033,2.890371758,3.004031077,1.728109442,5.736572297
3,AM_238,3.1,38.83333333,10,0.0928,19.83333333,21.66666667,4.78,292,1.131402111,3.659278984,2.302585093,-4.833301279,2.987364024,3.075774981,1.564440547,6.068425588
3,AM_240,2.5,46,8.666666667,0.1486,24.5,19.5,6.02,16,0.916290732,3.828641396,2.159484249,-4.236405535,3.198673118,2.970414466,1.795087259,5.099866428
3,AM_240,3.066666667,41.33333333,7,0.1496,27.25,17.5,5.3,161,1.120591195,3.721669277,1.945910149,-4.346735357,3.305053521,2.862200881,1.667706821,5.796057751
3,AM_241,3.05,41.5,9.3,NA,NA,NA,6.92,623,1.115141591,3.725693427,2.2300144,NA,NA,NA,1.93441577,6.514712691
3,AM_241,NA,NA,NA,NA,19.25,18.5,10.42,709,NA,NA,NA,NA,2.957511061,2.917770732,2.343727036,6.603943825
3,AM_241,2.95,46.83333333,10.83333333,0.1675,30.5,21.75,6.55,417,1.08180517,3.8465952,2.3826278,-4.487193102,3.417726684,3.079613758,1.87946505,5.407171771
3,AM_242,2.75,48,11.66666667,0.149,26.16666667,18.83333333,5.49,142,1.011600912,3.871201011,2.456735773,NA,3.264486336,2.935628349,1.702928256,5.736572297
3,AM_243,3.166666667,49.33333333,10,0.1203,13.66666667,22.33333333,5.57,392,1.15267951,3.898599985,2.302585093,-4.581875183,2.614959778,3.106080331,1.717395054,5.327876169
3,AM_243,NA,NA,NA,NA,NA,NA,7.86,697,NA,NA,NA,NA,NA,NA,2.061786606,6.442540166
3,AM_243,3.266666667,43.33333333,11.66666667,NA,16.5,21,5.63,520,1.183770097,3.768922162,2.456735773,NA,2.803360381,3.044522438,1.728109442,5.866468057
3,AM_243,3.1,47,10.83333333,0.1191,29.66666667,18.16666667,7.53,467,1.131402111,3.850147602,2.3826278,-4.718108967,3.390024081,2.899588413,2.018895042,5.648974238
3,AM_244,NA,NA,NA,NA,NA,NA,7.63,655,NA,NA,NA,NA,NA,NA,2.032087845,6.551080335
3,AM_244,3.533333333,47.66666667,8.833333333,0.0868,25.16666667,20.33333333,5.84,161,1.262241712,3.864232342,2.178532444,-4.791037676,3.225520368,3.012261575,1.764730797,5.796057751
3,AM_244,2.666666667,47.33333333,9.666666667,0.0642,32.83333333,18.33333333,5.69,233,0.980829253,3.857214769,2.268683541,-5.0534242,3.491444259,2.908720896,1.738710248,4.812184355
3,AM_244,2.566666667,41,9,NA,NA,NA,8.17,662,0.94260804,3.713572067,2.197224577,NA,NA,NA,2.100468909,6.363028104
3,AM_245,2.933333333,50.33333333,8.333333333,0.0475,3,22.5,5.71,467,1.076139433,3.918667548,2.120263536,-5.863571365,1.098612289,3.113515309,1.742219024,6.338594078
3,AM_246,3.666666667,52.33333333,9.5,0.1301,NA,NA,8.19,627,1.299282984,3.957633517,2.251291799,-4.922631181,NA,NA,2.102913898,6.519147288
3,AM_246,NA,NA,NA,NA,NA,NA,9.62,740,NA,NA,NA,NA,NA,NA,2.263844265,6.622736324
3,AM_246,2.716666667,40.66666667,8.166666667,NA,NA,NA,7.82,559,0.999405639,3.705408756,2.100060829,NA,NA,NA,2.056684555,6.436150368
3,AM_246,NA,NA,NA,NA,NA,NA,10.44,662,NA,NA,NA,NA,NA,NA,2.345644582,6.556778356
3,AM_246,3.533333333,49.83333333,10,0.0972,11,20.16666667,5.27,194,1.262241712,3.908684104,2.302585093,-5.129058271,2.397895273,3.004031077,1.662030363,4.65396035
3,AM_248,3.133333333,36,8.333333333,NA,29,17.25,8.95,593,1.142097401,3.583518938,2.120263536,NA,3.36729583,2.847812143,2.191653532,6.478509642
3,AM_251,2.783333333,41.33333333,12.66666667,0.095,15.16666667,22,4.96,67,1.02364925,3.721669277,2.538973871,-5.156511231,2.719100038,3.091042453,1.601405741,5.438079309
3,AM_252,3,45,9.333333333,0.0715,26.33333333,20.83333333,7.02,309,1.098612289,3.80666249,2.233592221,-5.284516274,3.270835564,3.036554268,1.948763218,6.100318952
4,AM_053,3.233333333,42.33333333,10.33333333,0.1732,21.83333333,17.66666667,6.62,593,1.173513597,3.745574798,2.335374915,-4.28485994,3.083437854,2.871679625,1.89009537,6.478509642
4,AM_053,2.616666667,38.83333333,10.33333333,0.0984,17.5,17.5,4.36,161,0.961901243,3.659278984,2.335374915,-4.787152932,2.862200881,2.862200881,1.472472057,4.465908119
4,AM_054,3.266666667,45.33333333,11.5,0.2602,33.5,21,5.39,246,1.183770097,3.814042597,2.442347035,-4.003763128,3.511545439,3.044522438,1.684545385,4.86753445
4,AM_055,NA,NA,NA,0.2325,17,19.5,4.51,49,NA,NA,NA,-4.122405915,2.833213344,2.970414466,1.506297154,3.465735903
4,AM_055,NA,NA,NA,NA,NA,NA,8.03,NA,NA,NA,NA,NA,NA,NA,2.083184528,NA
