pop,loc4,loc8,loc7,loc1,loc6,loc2,loc10,loc11,loc5,loc3,loc9
9,0811,0104,0000,1313,0935,0812,3346,2525,1924,0215,1115
9,0610,0000,2138,0404,0911,1232,4040,2252,1017,0115,1214
9,0707,0406,1936,0533,0922,0812,3251,2626,0808,0215,0909
9,0510,0606,2121,3333,0713,1616,1414,0620,1019,0213,1222
10,0707,0606,1521,2830,0710,0707,2020,0609,0715,0415,3248
10,0606,0610,4456,2121,0416,1218,2244,0524,1717,1516,1414
10,0204,0404,1729,0736,1111,0812,3636,1625,1922,0000,1515
10,0204,0404,5152,1148,1515,1515,0000,1818,0315,1313,1835
10,0000,0404,0224,2137,0309,0813,3434,0920,0505,0000,1111
10,0622,0606,1020,2535,0741,1515,0000,0122,2222,1315,1520
10,0606,0204,1648,0125,0202,1212,3461,2525,0723,0513,1111
10,1717,0204,4545,0517,0715,1218,2528,1126,0814,1315,1717
10,0710,0404,4358,2329,0909,0818,2020,1749,0419,0000,1121
10,0918,0204,1618,3337,0909,1224,2075,2121,1923,0000,1717
10,0000,0204,3746,1719,0508,0819,2020,0116,1520,1515,1112
11,0607,0404,2457,1218,0011,1010,0727,0932,0715,0415,1414
11,1011,0404,1623,0440,0707,1313,5764,1356,2626,0202,1414
11,0710,0409,1623,1440,0707,0305,4848,1414,0326,0213,1423
11,0808,0202,0810,1035,0941,0000,2345,2638,1515,0413,0808
11,0610,0202,0810,1824,0407,1012,0000,2653,0117,1113,1414
11,0000,1616,2222,0218,0710,0519,1212,0917,0303,0000,0000
11,0610,0404,0707,1318,0808,0707,0911,1116,2121,1213,1212
11,0719,0000,1946,1433,0707,1925,0606,0000,1719,0413,0000
11,0608,1010,1946,1440,0019,0202,2950,2731,1721,1316,1111
11,0713,0204,1316,0828,0931,0313,5266,2433,1326,1520,1111
11,0000,0204,1316,1024,0509,0000,1850,4460,1923,1313,1417
11,0608,0000,2424,1628,0407,0000,4074,1616,0515,0413,1414
11,1010,0404,1014,2643,0715,0000,1052,1730,0002,0000,1111
11,0808,0000,1043,3335,1129,0000,1230,1630,1616,1115,1214
12,0505,0404,0621,2121,0833,1015,2929,0611,1719,1315,4949
12,0607,0000,1740,0332,0727,1021,2424,2255,0819,1515,0115
12,0609,0202,4952,1332,0935,1515,0404,0811,1919,0617,1536
12,0608,0406,0000,2332,0911,1021,0000,3434,1719,0000,0808
12,0404,0000,5066,0707,0816,1526,4949,2047,1717,1515,0655
12,0406,0406,1616,3939,0911,1218,5151,0616,2121,0215,0909
12,0707,0000,1946,3232,1737,1621,5460,1313,1721,1315,0846
12,0610,0000,1052,1919,0515,1012,6767,0438,1717,0113,0844
12,0410,0404,1760,1544,0837,1320,3449,2128,1925,1515,0627
12,0808,0204,1649,1313,0819,2122,5158,2038,1723,1315,1212
12,0000,0404,1640,1932,0707,1820,0000,0707,1717,1313,1831
13,0707,0404,2237,2733,0838,1012,0447,0132,1717,1515,1153
13,0606,0404,1625,0325,0839,1213,0000,0441,0517,0415,1527
13,0606,0202,2263,2535,1537,1018,3560,0132,1719,0517,1515
13,0001,0606,2121,2534,1537,1215,5353,0618,1719,1515,1240
13,0000,0707,0000,0000,0000,0000,0000,0101,0000,0000,0000
13,1919,0406,1722,0909,0837,1218,0444,0432,1919,1517,1153
13,0606,0404,1625,2121,0917,0000,5656,1144,1919,0415,2762
13,0606,0406,1640,0000,1239,1012,5555,4444,1919,0000,1515
13,0606,0204,4863,2130,1515,0618,5362,0000,1717,0615,1515
13,0406,0206,1937,2329,0915,0828,4762,2222,1919,1515,6666
14,0404,0204,1954,0327,1313,0818,4054,0000,1919,1315,0606
14,0606,0406,1919,1334,3737,0808,0505,2626,1519,1515,1515
14,0709,0404,0000,1334,3737,1515,5858,1825,1919,1515,1115
14,0722,0404,1621,0925,1537,0811,1647,3939,2121,1515,1548
14,0606,0405,1919,0335,3742,1212,5468,1833,1919,0404,1515
14,0406,0404,0000,1325,1538,0808,3434,3333,1919,0000,0118
14,0404,0203,1954,0327,1313,0818,4054,1143,1919,1315,0606
14,0606,0204,1919,2337,0915,1015,5462,1919,1919,1515,1546
14,0606,0406,1719,1341,0837,0818,0000,0000,1919,0404,1111
14,0720,0404,1921,0363,0737,0000,1616,0505,1919,1315,6969
15,1414,0404,0000,0000,0939,0808,0000,0606,1517,1315,0107
15,0509,0404,4242,0325,0419,1823,4068,1144,1919,0417,1212
15,0506,0204,1219,1826,0715,0000,5151,2424,1719,1515,1554
15,2121,0606,0940,2428,0510,0808,4249,2020,0000,1515,1561
15,0606,0404,0000,0435,1315,0000,5353,2434,1921,0213,0611
15,0610,0612,1932,3741,0713,0810,4646,1717,1719,1313,1857
15,0606,0404,1946,2744,0941,0818,4343,0000,0808,1315,0615
15,0606,0404,1616,0927,3939,0820,4043,3658,0819,1515,0611
15,0407,0606,1929,4553,0518,1013,4671,0913,1919,1515,1546
15,0606,0405,4646,3333,0808,1018,7070,0120,0005,0404,1126
16,0708,0000,0000,1525,0716,1822,0000,0000,0000,0000,0000
16,0409,0616,0105,2121,0707,1012,4848,2942,0000,1315,2937
16,0507,0202,0417,1734,0743,1219,1616,2157,1519,1414,1214
16,0606,0404,1930,1517,0707,1523,0000,0303,0415,0000,1547
16,0808,0404,0121,2546,0107,0000,1826,0626,1519,0000,5555
16,1818,0204,1330,0932,0206,2323,5353,1942,1515,1317,1422
16,2525,0000,0712,1929,0707,0712,1831,1218,1919,1515,1544
16,0000,0202,0616,0719,0911,1919,4444,1321,0715,1313,0712
16,0410,0202,1928,2525,0707,0000,3470,0141,0808,1319,1148
16,0508,0606,1248,2335,0307,2727,3658,3342,1521,1315,4646
17,0404,0404,1617,2537,0737,1012,0441,1619,1921,1515,0915
17,0606,0202,1919,3434,1115,1018,4747,0000,1719,1818,1664
17,0405,0505,1940,1928,0735,1010,0453,4444,1919,1717,5454
17,0506,0000,0000,2860,0514,0820,4949,0426,1919,1515,5454
17,0406,0204,1019,1933,0936,1227,5454,2244,1717,0408,3556
17,0406,0202,2159,1941,1721,1212,0505,1628,2121,0408,1515
17,0606,0606,1717,0333,1138,0608,4965,1028,1717,0000,1517
18,0505,0404,5961,0934,0909,1229,5555,0742,1515,1818,0611
18,0406,1414,1635,2729,0626,0818,3454,1219,1919,1515,5555
18,0606,1414,5864,4152,2626,1216,5858,3142,1519,1515,6369
18,0406,0404,1616,3439,0835,1129,3737,1515,1919,1315,6161
18,0406,0204,1619,3241,1718,2429,4747,3939,1919,1315,1152
18,0506,0405,1648,2727,0808,1112,4755,4747,0519,0415,1534
18,0404,0505,1616,3239,0811,1118,3846,1719,0519,1515,0606
18,0404,0404,1919,3256,1517,1220,0404,1212,1921,1315,5470
18,0406,0202,6163,3748,1137,0618,5151,2037,1919,0000,0968
19,0404,0404,2525,3248,1919,1521,4949,0324,1616,1517,3131
19,0415,0404,4040,2329,0715,0810,2525,0000,0005,1515,1127
19,0606,0405,3232,1313,2537,1020,4040,2525,1919,1515,3333
19,0000,0404,3338,2121,0824,0813,4047,1734,0000,0413,3131
19,0606,0204,1924,2739,0915,2022,1010,1012,1919,1515,1111
19,0608,0204,2525,1750,1030,1012,7070,0344,1723,1515,3158
19,0406,0204,1919,0000,1037,0816,3344,1013,1519,1515,2727
19,0000,0404,4364,0000,0738,1520,4953,2525,1921,0000,0960
19,0406,0404,2020,2532,0808,0000,3947,2239,2121,0317,1131
19,0509,0303,5565,2746,1111,0606,4047,0325,1919,0413,1138
20,1010,0505,0124,0515,0000,0000,6060,1049,1717,1516,0919
20,1717,0404,0000,1944,0707,1218,0000,0000,0000,0416,2525
20,0809,0610,0110,0927,0710,1220,4141,1549,1717,0000,1727
20,0000,0404,1255,1544,0015,1919,0000,2252,2121,1111,0349
20,0809,0104,2129,3232,0009,0000,2062,1528,1919,0404,1535
20,1818,0404,0626,1536,4246,0813,5555,0416,0917,1313,1119
20,1317,0000,4054,2525,1247,0303,0172,3348,1214,1315,1114
20,1010,0606,0148,0505,0011,0815,1833,0542,1313,0304,1111
20,0911,1010,0112,2148,0707,0000,1717,1116,1725,1515,1426
20,0511,0404,0808,1329,0909,1020,0861,0518,1721,0315,1515
21,0606,0000,0616,2033,1521,0615,7272,0932,1717,1515,1548
21,0608,0606,1638,0327,1519,0719,2053,2233,1719,0213,1124
21,0606,0202,3434,3232,0813,0708,4343,1539,1820,1313,1746
21,0506,0000,0516,1329,0911,1212,0000,0938,1719,1315,0924
21,0607,0000,1212,4545,0821,3131,0000,1520,1418,0215,1616
21,0924,0606,3838,1325,1212,1212,3668,2959,1919,1315,0927
21,0505,0000,0000,0000,1515,1219,0000,0303,0000,0215,0911
21,0909,0406,1940,0000,1219,0000,0000,2555,0000,1515,3437
21,0608,0406,1959,1532,0913,0000,2020,2426,0000,1515,1945
21,0609,0000,1235,4144,0909,1012,0000,1010,1313,1315,1437
22,0409,0204,0648,2020,0539,1012,0000,5252,1719,0110,1120
22,0519,0606,2146,2033,0721,0613,6060,1545,0015,0404,1154
22,0404,0204,0000,4242,0032,1015,5959,4141,0519,1515,1023
22,0606,0406,1624,1249,0940,1024,4963,1619,1919,1515,1115
22,0608,0606,1719,2828,0822,0810,3668,4444,0719,1515,0000
22,0000,0606,1240,3033,0911,1212,1313,1240,1919,1717,1111
22,1010,0606,1048,2026,0939,1012,0000,2020,1719,0115,2026
22,0410,0406,1746,0000,1115,0808,7171,2525,1723,1515,0909
22,0910,0404,0000,3033,0709,0606,2832,0000,0519,1515,1114
22,0506,0206,0624,0433,0819,0808,5454,1626,1721,1515,1515
22,0404,0204,1717,2020,1532,0000,7373,0118,1519,0115,2020
22,0808,0606,1616,2435,0911,0000,4747,1919,0517,1115,1228
22,0407,0406,1719,2845,2237,0712,5353,1119,0000,1515,1528
22,0419,0206,1146,0622,2428,0606,4646,1529,1521,0415,0611
